original_title;genre;director;actors;description;combined_features
Miss Jerry;Romance;Alexander Black;Blanche Bayliss, William Courtenay, Chauncey Depew;The adventures of a female reporter in the 1890s.;Miss Jerry Romance Alexander Black Blanche Bayliss, William Courtenay, Chauncey Depew The adventures of a female reporter in the 1890s.
The Story of the Kelly Gang;Biography, Crime, Drama;Charles Tait;Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson;True story of notorious Australian outlaw Ned Kelly (1855-80).;The Story of the Kelly Gang Biography, Crime, Drama Charles Tait Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson True story of notorious Australian outlaw Ned Kelly (1855-80).
Den sorte drøm;Drama;Urban Gad;Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes, Hugo Flink, Mary Hagen;Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...;Den sorte drøm Drama Urban Gad Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes, Hugo Flink, Mary Hagen Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...
Cleopatra;Drama, History;Charles L. Gaskill;Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker;The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.;Cleopatra Drama, History Charles L. Gaskill Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.
L'Inferno;Adventure, Drama, Fantasy;Francesco Bertolini, Adolfo Padovan;Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta;Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.;L'Inferno Adventure, Drama, Fantasy Francesco Bertolini, Adolfo Padovan Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.
"From the Manger to the Cross; or, Jesus of Nazareth";Biography, Drama;Sidney Olcott;R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan;An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...;"From the Manger to the Cross; or, Jesus of Nazareth Biography, Drama Sidney Olcott R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise..."
Madame DuBarry;Biography, Drama, Romance;Ernst Lubitsch;Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla;The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.;Madame DuBarry Biography, Drama, Romance Ernst Lubitsch Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.
Quo Vadis?;Drama, History;Enrico Guazzoni;Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella;"An epic Italian film ""Quo Vadis"" influenced many of the later movies.";"Quo Vadis? Drama, History Enrico Guazzoni Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella An epic Italian film ""Quo Vadis"" influenced many of the later movies."
Independenta Romaniei;History, War;Aristide Demetriade, Grigore Brezeanu;Aristide Demetriade, Constanta Demetriade, Constantin Nottara, Pepi Machauer, Aurel Athanasescu, Jeny Metaxa-Doro, Nicolae Soreanu, Vasile Toneanu, Aristita Romanescu, Elvire Popesco, M. Vîrgolici, C. Nedelcovici, Mihail Tancovici-Cosmin, Ion Dumitrescu, Gheorghe Meliseanu;The movie depicts the Romanian War of Independence (1877-1878).;Independenta Romaniei History, War Aristide Demetriade, Grigore Brezeanu Aristide Demetriade, Constanta Demetriade, Constantin Nottara, Pepi Machauer, Aurel Athanasescu, Jeny Metaxa-Doro, Nicolae Soreanu, Vasile Toneanu, Aristita Romanescu, Elvire Popesco, M. Vîrgolici, C. Nedelcovici, Mihail Tancovici-Cosmin, Ion Dumitrescu, Gheorghe Meliseanu The movie depicts the Romanian War of Independence (1877-1878).
Richard III;Drama;André Calmettes, James Keane;Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice;Richard of Gloucester uses manipulation and murder to gain the English throne.;Richard III Drama André Calmettes, James Keane Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice Richard of Gloucester uses manipulation and murder to gain the English throne.
Atlantis;Drama;August Blom;Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esbøll, Lily Frederiksen;After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.;Atlantis Drama August Blom Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esbøll, Lily Frederiksen After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.
